GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),SOC(RAW)(%),*?Engine Oil Pressure(psi),*?Engine Oil Temp(°F),*?Engine Torque(Nm),*?Fuel Level(%),*?Oil Life(%),*HPCM1 19 42(V),*HPCM1 19 A1(V),*HPCM1 1C 2F(V),*HPCM1 1C 30(V),*HPCM1 1C 36(V),*HPCM1 1C 37(V),*HPCM1 24 11(V),*HPCM1 24 14(V),*HPCM1 24 16(V),*HPCM1 24 17(V),*HPCM1 24 29(V),*HPCM1 24 2B(V),*HPCM1 24 2C(V),*HPCM1 24 34(V),*HPCM1 24 87(V),*HPCM1 28 78(V),*HPCM1 28 81(V),*HPCM1 28 82(V),*HPCM1 28 83(V),*HPCM1 28 84(V),*HPCM1 28 85(V),*HPCM1 28 86(V),*HPCM1 28 AF(V),*HPCM1 28 B0(V),*HPCM1 28 BC(V),*HPCM1 28 BD(V),*HPCM1 28 BE(V),*HPCM1 28 E8(V),*HPCM1 40 D0(V),*HPCM2 13 AF(V),*HPCM2 40 E7(V),*HPCM2 41 B2(V),*HPCM2 41 B4(V),*HPCM2 41 B6(V),*HPCM2 41 B7(V),*HPCM2 43 2B(V),*HPCM2 43 2D(V),*HPCM2 43 2E(V),*HPCM2 43 56(V),*HPCM2 43 58(V),*HPCM2 43 5A(V),*HPCM2 43 5D(V),*HPCM2 43 6B(V),*HPCM2 43 6C(V),*HPCM2 43 6D(V),*HPCM2 43 6E(V),*HPCM2 43 6F(V),*HPCM2 43 73(V),*HPCM2 43 74(V),*HPCM2 43 7D(V),*HPCM2 43 7E(V),*HPCM2 43 7F(V),*HPCM2 43 B0(V),*HPCM2 43 BB(V),*HPCM2 82 B2(V),*HPCM2 82 B5(V),*HPCM2 82 B7(V),*HPCM2 83 34(V),*HPCM2 83 5A(V),*HPCM2 83 5C(V),*HPCM2 90 5C(V),*HPCM2 HV Battery Temp (V),*HPCM2 Obboard Charger Voltage(V),*HPCM2 OnBoard Charger Current Amps(A),*HPCM2 Outside Temp Filtered 1F(V),*HPCM2 Outside Temp Raw(V),*HPCM2 Power Eletronics Cooling Temp(°F),*master Commanded Throttle Pos(%),*master Control Module Voltage mode22(V),*master Distance Travel since code cleared(miles),*master Distance Travel with MIL On(miles),*master ECM 11 31  B1(B1),*master ECM 15 64  B1(B1),*master ECM 15 70  B1(B1),*master ECM 15 71  B1(B1),*master ECM 15 72  B1(B1),*master ECM 15 73  B1(B1),*master ECM 1A 2D  B1(V),*master ECM 20 3F  B1(B1),*master ECM 20 7E  B1(B1),*master ECM 28 10  B1(B1),*master ECM Amb Temp(°F),*master Engine Coolant Temp(°F),*master Engine RPM(rpm),*master Engine Torque(Nm),*master Engine Torque m1(Nm),*master Engine Torque m1%(%),*master Hybrid Pack Remaining (SOC)(%),*master Intake Air Temp IAT(°F),*master Intake Manifold Press(psi),*master Spark Advance(Deg),*master Speed(km/hr),*SOC(RAW)(%),*SOC(USABLE)(%),*Tran TCM  19 40(°F),*Tran TCM  19 41 1byte(V),*Tran TCM  19 9E 1byte(V),*Tran TCM  19 D4 1byte(V),*Tran TCM  1A 18 1byte(V),*Tran TCM  1A 1F 1byte(V),*Tran TCM  28 51 1byte(V),*Tran TCM  28 52 1byte(V),*Tran TCM  28 53 1byte(V),*Tran TCM  28 54 1byte(V)
Sat Jan 05 14:38:10 MST 2013,05-Jan-2013 14:35:51.571,-104.8674616,39.07588952,0.0,5.0,2087.39990234375,213.3,0,2.26097775,9.38441944,0.00299025,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,44,44,35.59999847,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:38:34 MST 2013,05-Jan-2013 14:36:15.365,-104.86746166,39.07588963,0.0,3.6055512,2087.39990234375,213.3,0,2.26097775,9.42528057,0.00704014,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,44,44,35.59999847,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:38:58 MST 2013,05-Jan-2013 14:36:39.256,-104.8674617,39.07588965,0.0,5.0,2087.39990234375,213.3,-0.04086104,2.26097775,9.42528057,0.0070489,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,43,43,35.59999847,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:39:22 MST 2013,05-Jan-2013 14:37:03.531,-104.86746165,39.07588971,0.0,3.6055512,2087.39990234375,213.3,0,2.26097775,9.38441944,0.00299025,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,43,43,35.59999847,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:39:47 MST 2013,05-Jan-2013 14:37:27.945,-104.86746165,39.07588983,0.0,3.6055512,2087.39990234375,213.3,0,2.26097775,9.42528057,0.00704014,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,43,43,35.59999847,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:40:11 MST 2013,05-Jan-2013 14:37:51.906,-104.86746165,39.0758899,0.0,3.6055512,2087.39990234375,213.3,0,2.30183887,9.34355831,-0.00007063,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,43,43,35.59999847,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:40:35 MST 2013,05-Jan-2013 14:38:16.278,-104.8674616,39.07589001,0.0,2.828427,2087.39990234375,213.3,0,2.22011662,9.30269718,-0.00608182,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,43,43,35.59999847,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:40:59 MST 2013,05-Jan-2013 14:38:40.344,-104.86746148,39.07589008,0.0,2.828427,2087.39990234375,213.3,0.04086104,2.30183887,9.30269718,-0.00410557,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,43,43,35.59999847,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:41:24 MST 2013,05-Jan-2013 14:39:05.171,-104.86746144,39.07589014,0.0,2.828427,2087.5,213.3,-0.04086104,2.26097775,9.42528057,0.0070489,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,43,43,35.59999847,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:41:49 MST 2013,05-Jan-2013 14:39:30.375,-104.86746142,39.07589015,0.0,3.6055512,2087.5,213.3,0,2.26097775,9.30269718,-0.00510657,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,43,43,35.59999847,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
