~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
20120218.charge.breakerstop - 9:54:22 AM 2/18/2012 - Hexadecimal
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

TYPE,TIME,ID,D1,D2,D3,D4,D5,D6,D7,D8
TD11,0,1,						;A Tesla Roadster 2.5 std model, charge using the circuit breaker to abort the charge
RD11,0.0458,588,0,0,84
RD11,0.0468,1A0,0,0,0,0
RD11,0.0470,590,1,0,0,0,0,0,0,0
RD11,0.2813,102,4,44
RD11,0.2820,102,6,BC,2,0,10,0,0,0
RD11,0.2847,100,5,44,1,0,48,4B,0,0
RD11,0.4871,100,88,0,2,0,FF,FF,D
RD11,0.4874,100,89,0,FF,FF,7F,FF
RD11,0.4878,100,95,15,7,64,57,2,E,0
RD11,0.4881,100,8D,0,92,1,C9,0,C7,0
RD11,0.7963,100,96,65,0,2,21,C,0,0
RD11,1.1874,100,88,0,2,0,FF,FF,D
RD11,1.1877,100,89,0,FF,FF,7F,FF
RD11,1.1881,100,95,15,7,64,57,2,E,0
RD11,1.1884,100,8D,0,92,1,C9,0,C7,0
RD11,1.1891,588,0,0,84
RD11,1.1898,1A0,0,0,0,0
RD11,1.1901,590,1,0,0,0,0,0,0,0
RD11,1.5614,102,4,44
RD11,1.5643,100,5,44,1,0,48,4B,0,0
RD11,1.5871,100,80,5D,B5,0,76,0,A3,0
RD11,1.5879,100,85,1,49,1,69,0
RD11,1.5883,100,9C,1,28,0
RD11,1.8169,100,96,65,0,2,21,C,0,0
RD11,1.8872,100,88,0,2,0,FF,FF,D
RD11,1.8875,100,89,0,FF,FF,7F,FF
RD11,1.8878,100,95,15,7,64,57,2,E,0
RD11,1.8882,100,8D,0,92,1,C8,0,C7,0
RD11,1.8889,588,0,0,84
RD11,1.8895,1A0,0,0,0,0
RD11,1.8898,590,1,0,0,0,0,0,0,0
RD11,2.5972,100,88,0,2,0,FF,FF,D
RD11,2.5975,100,89,0,FF,FF,7F,FF
RD11,2.5978,100,95,15,7,64,57,2,E,0
RD11,2.5982,100,8D,0,92,1,C9,0,C7,0
TD11,2.6613,1,								;Slide to start charging
RD11,2.8264,100,96,65,0,2,21,C,0,0
RD11,2.8413,102,4,44
RD11,2.8432,100,5,44,1,0,48,4B,0,0
RD11,3.1683,100,96,6D,0,2,21,C,0,0
RD11,3.1690,588,0,0,84
RD11,3.1697,1A0,0,0,0,0
RD11,3.1700,590,1,0,0,0,0,0,0,0
RD11,3.3176,100,88,0,2,0,FF,FF,D
RD11,3.3178,100,89,0,0,0,0,46
RD11,3.3184,100,95,15,1,64,57,2,E,0
RD11,3.3187,100,8D,0,92,1,C8,0,C7,0
RD11,3.5867,100,80,5D,B5,0,76,0,A3,0
RD11,3.5876,100,85,1,49,1,69,0
RD11,3.5879,100,9C,1,28,0
RD11,3.8369,100,96,6D,0,2,21,C,0,0
RD11,4.0273,100,88,0,2,0,FF,FF,D
RD11,4.0275,100,89,0,1,0,0,46
RD11,4.0279,100,95,15,1,64,57,2,E,0
RD11,4.0283,100,8D,0,92,1,C9,0,C7,0
RD11,4.0290,588,0,0,84
RD11,4.0296,1A0,0,0,0,0
RD11,4.0298,590,1,0,0,0,0,0,0,0
RD11,4.4665,100,9B,4D,F3,7,B,D8,92,0
RD11,4.4668,100,7,64
RD11,4.5014,102,4,44
RD11,4.5043,100,5,44,1,0,48,4B,0,0
RD11,4.7273,100,88,0,2,0,FF,FF,D
RD11,4.7276,100,89,0,1,0,0,46
RD11,4.7280,100,95,15,1,64,57,2,E,0
RD11,4.7283,100,8D,0,92,1,C9,0,C7,0
RD11,4.8565,100,96,6D,0,2,21,C,0,0
RD11,5.4277,100,88,0,2,0,FF,FF,D
RD11,5.4279,100,89,0,0,0,0,46
RD11,5.4283,100,95,15,1,64,57,2,E,0
RD11,5.4287,100,8D,0,92,1,C9,0,C7,0
RD11,5.4293,588,0,0,84
RD11,5.4299,1A0,0,0,0,0
RD11,5.4302,590,1,0,0,0,0,0,0,0
RD11,5.5967,100,80,5D,B5,0,76,0,A3,0
RD11,5.5976,100,85,1,49,1,69,0
RD11,5.5979,100,9C,1,28,0
RD11,5.7815,102,4,44
